Date,Panhandle,Nqoga-1a,Thaoge,Xudum,Boro,Nqoga-2a,Selinda,Mboroga,Khwai,
2010/01/01,77,22,11,11,11,21,11,10,10,
2010/02/01,302,89,7,13,13,14,6,11,11,
2010/03/01,731,218,2,13,13,4,1,11,11,
2010/04/01,902,442,0,5,6,0,0,5,7,
2010/05/01,903,578,56,3,4,158,36,3,7,
2010/06/01,880,728,214,156,200,389,139,1,4,
2010/07/01,838,766,228,602,720,475,148,0,2,
2010/08/01,836,816,262,644,799,500,169,0,0,
2010/09/01,822,819,177,762,944,529,103,0,0,
2010/10/01,809,827,173,552,779,540,104,51,13,
2010/11/01,766,763,102,531,773,549,53,68,18,
2010/12/01,726,810,101,346,606,561,55,83,23,
2011/01/01,774,844,94,338,623,584,54,101,29,
2011/02/01,891,878,129,348,696,606,83,143,41,
2011/03/01,841,956,212,472,793,634,140,174,52,
2011/04/01,906,1032,300,765,1093,673,199,225,68,
2011/05/01,906,1124,395,985,1323,719,263,293,85,
2011/06/01,872,1212,473,1249,1611,764,314,358,101,
2011/07/01,845,1251,500,1471,1740,791,333,422,122,
2011/08/01,835,1259,501,1540,1740,807,334,471,138,
2011/09/01,825,1204,422,1527,1740,809,276,491,146,
2011/10/01,815,1075,300,1284,1740,766,189,491,149,
2011/11/01,779,1029,224,934,1532,766,137,425,135,
2011/12/01,753,1067,189,712,1244,777,117,401,135,
2012/01/01,794,1058,159,663,1207,787,99,422,142,
2012/02/01,872,1103,206,542,1063,810,139,430,147,
2012/03/01,864,1160,305,674,1180,831,216,453,155,
2012/04/01,858,1213,372,936,1423,850,262,478,165,
2012/05/01,885,1286,426,1098,1597,872,297,505,174,
2012/06/01,829,1331,469,1274,1740,901,328,536,185,
2012/07/01,832,1273,455,1388,1740,919,321,578,196,
2012/08/01,819,1265,407,1345,1740,920,289,605,204,
2012/09/01,810,1179,311,1211,1740,890,218,608,208,
2012/10/01,774,1068,211,951,1508,837,144,565,197,
2012/11/01,730,985,132,673,1155,794,86,489,168,
2012/12/01,705,988,88,454,888,797,57,426,147,
2013/01/01,738,1093,98,333,770,860,68,425,152,
2013/02/01,859,1065,89,406,928,862,64,499,189,
2013/03/01,824,1086,129,345,823,853,96,500,192,
2013/04/01,872,1125,183,487,922,868,148,486,193,
2013/05/01,850,1192,255,661,1080,891,198,503,196,
2013/06/01,844,1247,295,856,1296,915,233,532,201,
2013/07/01,816,1264,300,984,1434,926,237,565,213,
2013/08/01,819,1245,260,999,1445,928,206,583,221,
2013/09/01,801,1161,191,885,1315,897,151,584,223,
2013/10/01,766,1041,125,678,1091,835,97,542,210,
2013/11/01,708,1009,78,467,840,819,61,461,174,
2013/12/01,660,1105,83,328,702,875,69,436,171,
2014/01/01,720,1118,60,360,808,899,50,492,205,
2014/02/01,779,1185,70,288,757,931,61,516,213,
2014/03/01,831,1365,100,319,838,990,93,557,227,
2014/04/01,855,1274,167,502,1101,1013,151,647,255,
2014/05/01,869,1321,267,681,1242,1034,218,679,269,
2014/06/01,860,1330,331,938,1453,1063,274,710,282,
2014/07/01,824,1298,361,1116,1642,1092,290,755,297,
2014/08/01,825,1259,332,1188,1704,1094,266,789,308,
2014/09/01,813,1187,263,1082,1560,1042,209,791,311,
2014/10/01,773,1051,170,873,1306,950,133,725,282,
2014/11/01,722,979,106,592,982,887,83,608,228,
2014/12/01,687,944,60,398,767,854,47,525,196,
