Date,Inflow-Maun,Rainfall-Maun,PET-Maun
1971-04-01,0.8,44.6,108
1971-05-01,1.27,0,90
1971-06-01,16.56,0,70
1971-07-01,46.5,0,67
1971-08-01,52.12,0,88
1971-09-01,42.52,1.6,133
1971-10-01,23.04,9.7,192
1971-11-01,9.12,66.8,184
1971-12-01,4.35,94.4,186
1972-01-01,3.23,260.3,145
1972-02-01,6.66,69.7,144
1972-03-01,9.53,192.9,121
1972-04-01,11.28,19.8,96
1972-05-01,12.17,0,81
1972-06-01,12.82,0,61
1972-07-01,16.39,0,66
1972-08-01,26.59,0,88
1972-09-01,30.04,0,129
1972-10-01,21.77,10.5,173
1972-11-01,11.03,2,217
1972-12-01,3.3,47.2,212
1973-01-01,2.04,80.8,198
1973-02-01,0.05,67.5,145
1973-03-01,0.03,21.9,144
1973-04-01,0.02,14.8,109
1973-05-01,0,0,90
1973-06-01,0,0,67
1973-07-01,4.47,0,75
1973-08-01,11.24,0,94
1973-09-01,8.29,0,133
1973-10-01,3.65,100.8,156
1973-11-01,1.39,43.9,176
1973-12-01,0.91,270.1,132
1974-01-01,2.71,341.9,132
1974-02-01,5.53,365.7,107
1974-03-01,25.74,17.9,129
1974-04-01,42.3,50.1,85
1974-05-01,47.04,0,73
1974-06-01,45.34,0,59
1974-07-01,46.81,0,65
1974-08-01,51.65,0,86
1974-09-01,59.82,11.1,114
1974-10-01,53.85,6.5,164
1974-11-01,40.29,116.2,153
1974-12-01,29.74,30.9,164
1975-01-01,22.98,168.5,150
1975-02-01,16.65,60.8,125
1975-03-01,18.4,191.4,115
1975-04-01,20.44,71.3,95
1975-05-01,18.95,3.5,77
1975-06-01,54.53,0,59
1975-07-01,98.73,0,61
1975-08-01,98.25,0,78
1975-09-01,83.53,0,114
1975-10-01,60.97,1.2,166
1975-11-01,40.16,10.5,193
1975-12-01,24.84,71.2,177
1976-01-01,13.11,112.6,148
1976-02-01,7.81,68.1,132
1976-03-01,8.14,108.3,118
1976-04-01,9.28,3.7,96
1976-05-01,11.34,2.7,77
1976-06-01,28.32,0,59
1976-07-01,79.2,0,59
1976-08-01,96.19,0,82
1976-09-01,79.97,12,111
1976-10-01,67.62,25.3,157
1976-11-01,50.01,74.2,177
