Date,Panhandle,Nqoga,Thaoge,Xudum,Boro,Maunachira,Selinda,Mboroga,Khwai
1967-03-01,799,853,3,39,176,698,2,296,21
1967-04-01,858,1021,13,44,131,736,12,279,29
1967-05-01,841,1085,32,80,417,757,29,313,16
1967-06-01,861,1237,52,149,818,822,46,434,31
1967-07-01,825,1326,65,213,1172,864,57,478,21
1967-08-01,830,1270,15,137,1288,924,17,512,38
1967-09-01,814,1215,6,75,1173,851,21,341,50
1967-10-01,785,1122,9,32,859,724,3,276,16
1967-11-01,768,1185,3,48,823,748,6,134,25
1967-12-01,762,1098,5,15,724,705,2,154,35
1968-01-01,886,1181,12,26,522,731,9,97,43
1968-02-01,911,1429,61,57,605,856,54,141,107
1968-03-01,955,1431,467,508,1579,1095,501,315,213
1968-04-01,883,1424,860,1976,1740,1190,769,696,266
1968-05-01,876,1362,1037,2799,1740,1139,896,1030,447
1968-06-01,849,1326,1091,3047,1740,1140,931,1030,500
1968-07-01,838,1314,1096,3053,1740,1128,933,1030,500
1968-08-01,829,1279,1023,2851,1740,1120,873,1030,500
1968-09-01,821,1239,886,2408,1740,1090,760,1030,500
1968-10-01,804,1090,494,1850,1740,986,587,1030,500
1968-11-01,781,1076,329,1380,1740,919,347,1030,500
1968-12-01,754,1026,76,833,1740,872,225,1030,467
1969-01-01,771,904,10,217,1740,816,51,1030,402
1969-02-01,861,1231,39,363,1740,983,136,1030,482
1969-03-01,846,1317,91,232,1740,1019,223,1030,469
1969-04-01,901,1326,318,525,1740,1074,333,1030,478
1969-05-01,922,1374,513,1086,1740,1153,546,1030,498
1969-06-01,850,1360,683,1932,1740,1137,690,1030,500
1969-07-01,838,1288,688,2386,1740,1129,683,1030,500
1969-08-01,831,1281,642,2238,1740,1113,639,1030,500
1969-09-01,824,1252,530,1949,1740,1083,554,1030,500
1969-10-01,815,1125,344,1422,1740,978,399,1030,500
1969-11-01,804,1057,112,1077,1740,889,302,1030,500
1969-12-01,800,893,20,695,1666,741,192,1030,472
1970-01-01,847,933,34,440,1507,785,63,1030,450
1970-02-01,830,906,145,118,1217,709,41,974,372
1970-03-01,862,925,163,171,1136,715,59,856,282
1970-04-01,899,1129,70,123,1213,686,143,747,246
1970-05-01,866,1354,316,742,1607,792,308,760,263
1970-06-01,840,1303,221,1145,1740,831,335,797,323
1970-07-01,829,1285,189,1229,1740,742,311,873,357
